2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 4 employees,2017,"57,851","60,168","129,802","126,125","12,461",21.188,"9,748",16.575,"43,041","30,450","12,591",24.143,34.126,"35,835","22,834","13,001",18.104,28.412,"7,206",5.713,56.825,"6,914","6,936","16,796"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 4 employees,2018,"59,387","61,650","132,419","128,835","12,253",20.248,"9,982",16.495,"42,948","29,475","13,473",22.878,33.336,"35,556","22,885","12,671",17.763,27.598,"7,392",5.738,55.196,"7,282","7,366","17,717"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 4 employees,2019,"60,957","63,221","135,618","131,666","12,812",20.676,"10,304",16.628,"44,623","31,433","13,190",23.873,33.891,"36,683","23,955","12,728",18.194,27.861,"7,940",6.03,55.721,"7,800","7,855","18,983"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 4 employees,2020,"62,128","64,516","137,764","135,525","13,505",21.212,"11,808",18.546,"46,310","32,616","13,694",24.066,34.171,"41,711","27,827","13,884",20.533,30.777,"4,599",3.393,61.555,"9,487","9,613","23,035"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2011,"15,215","16,121","114,477","115,266",933,5.807,824,5.129,"27,066","12,437","14,629",10.79,23.481,"28,488","10,855","17,633",9.417,24.715,"−1,422",−1.234,46.963,646,651,"8,590"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2012,"14,959","15,830","115,626","113,160",927,5.875,823,5.216,"29,454","12,309","17,145",10.878,26.029,"24,560","11,233","13,327",9.927,21.704,"4,894",4.325,43.408,583,591,"8,114"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2013,"14,933","15,814","112,972","113,486",909,5.77,790,5.014,"25,952","12,049","13,903",10.617,22.868,"26,821","10,797","16,024",9.514,23.634,−869,−0.766,45.736,581,586,"7,887"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2014,"15,393","16,380","119,297","116,878","1,028",6.325,776,4.774,"29,243","13,763","15,480",11.776,25.02,"24,197","10,515","13,682",8.997,20.703,"5,046",4.317,41.406,596,603,"8,213"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2015,"15,703","16,778","123,227","120,212","1,053",6.322,808,4.851,"31,255","14,137","17,118",11.76,26,"25,272","10,981","14,291",9.135,21.023,"5,983",4.977,42.046,635,644,"8,715"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2016,"16,154","17,271","127,687","124,380","1,149",6.693,941,5.481,"33,446","15,444","18,002",12.417,26.89,"26,700","12,634","14,066",10.158,21.466,"6,746",5.424,42.933,704,708,"9,586"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2017,"16,589","17,893","132,159","128,321","1,388",7.852,954,5.397,"35,795","18,763","17,032",14.622,27.895,"28,294","12,740","15,554",9.928,22.049,"7,501",5.845,44.099,711,717,"9,653"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2018,"17,065","18,247","133,814","130,239","1,258",6.966,882,4.884,"34,837","16,854","17,983",12.941,26.749,"27,625","11,894","15,731",9.132,21.211,"7,212",5.538,42.422,716,721,"9,640"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2019,"17,629","19,007","140,063","136,333","1,450",7.712,"1,038",5.521,"38,000","19,499","18,501",14.303,27.873,"30,434","13,838","16,596",10.15,22.323,"7,566",5.55,44.647,858,868,"11,619"
71,"Arts, entertainment, and recreation",Total,Establishments with 5 to 9 employees,2020,"17,811","19,196","139,773","138,522","1,362",7.136,"1,141",5.978,"36,176","18,370","17,806",13.261,26.116,"33,573","15,506","18,067",11.194,24.237,"2,603",1.879,48.473,942,964,"13,104"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2011,"11,441","12,336","176,894","176,302",487,3.964,384,3.126,"32,239","13,377","18,862",7.588,18.286,"31,194","10,519","20,675",5.966,17.694,"1,045",0.593,35.387,286,287,"7,819"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2012,"11,506","12,473","184,263","179,185",536,4.314,442,3.557,"39,527","14,759","24,768",8.237,22.059,"29,347","12,121","17,226",6.765,16.378,"10,180",5.681,32.756,276,281,"7,633"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2013,"11,603","12,576","181,634","181,101",600,4.794,477,3.812,"35,699","16,594","19,105",9.163,19.712,"34,450","13,031","21,419",7.195,19.023,"1,249",0.69,38.045,301,304,"8,221"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2014,"11,557","12,663","185,956","182,174",615,4.893,426,3.389,"37,066","17,015","20,051",9.34,20.347,"29,470","11,781","17,689",6.467,16.177,"7,596",4.17,32.354,304,306,"8,436"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2015,"11,977","13,128","193,298","189,197",686,5.265,489,3.753,"40,180","18,760","21,420",9.916,21.237,"31,907","13,409","18,498",7.087,16.864,"8,273",4.373,33.729,348,356,"9,502"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2016,"12,283","13,441","198,857","194,903",620,4.623,563,4.198,"40,822","16,676","24,146",8.556,20.945,"32,822","15,561","17,261",7.984,16.84,"8,000",4.105,33.68,409,413,"11,369"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2017,"12,547","13,743","201,219","198,463",642,4.69,531,3.879,"41,222","17,118","24,104",8.625,20.771,"35,544","14,479","21,065",7.296,17.91,"5,678",2.861,35.819,361,363,"9,935"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2018,"13,122","14,524","212,156","209,092",594,4.103,502,3.467,"41,323","16,240","25,083",7.767,19.763,"35,215","13,360","21,855",6.39,16.842,"6,108",2.921,33.684,372,378,"9,985"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2019,"13,645","15,032","220,741","216,879",687,4.594,530,3.544,"44,347","18,289","26,058",8.433,20.448,"36,487","14,352","22,135",6.618,16.824,"7,860",3.624,33.647,436,442,"11,855"
71,"Arts, entertainment, and recreation",Total,Establishments with 10 to 19 employees,2020,"13,904","15,363","222,027","222,840",609,3.959,652,4.238,"41,352","16,718","24,634",7.502,18.557,"43,181","17,301","25,880",7.764,19.378,"−1,829",−0.821,37.114,512,515,"13,504"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2011,"76,686","80,604","405,311","406,111","11,220",13.926,"11,154",13.844,"94,643","49,730","44,913",12.245,23.305,"96,241","45,248","50,993",11.142,23.698,"−1,598",−0.393,46.609,"7,956","8,019","34,067"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2012,"77,517","81,489","417,195","407,379","11,821",14.635,"10,390",12.863,"107,347","52,494","54,853",12.886,26.351,"87,546","45,554","41,992",11.182,21.49,"19,801",4.861,42.98,"7,165","7,225","31,820"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2013,"78,392","82,354","411,897","411,279","11,627",14.215,"10,511",12.85,"98,116","53,160","44,956",12.926,23.856,"96,353","46,082","50,271",11.205,23.428,"1,763",0.429,46.855,"7,289","7,312","32,099"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2014,"79,673","84,071","424,403","416,159","12,147",14.601,"10,387",12.486,"103,792","56,039","47,753",13.466,24.94,"86,922","43,774","43,148",10.519,20.887,"16,870",4.054,41.773,"7,410","7,480","32,708"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2015,"81,606","86,272","439,425","429,128","12,843",15.091,"10,510",12.349,"111,759","60,365","51,394",14.067,26.043,"90,994","46,172","44,822",10.76,21.204,"20,765",4.839,42.409,"7,391","7,443","34,065"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2016,"84,345","89,227","454,681","442,171","13,990",15.983,"10,596",12.106,"118,296","62,340","55,956",14.099,26.753,"92,888","49,405","43,483",11.173,21.007,"25,408",5.746,42.015,"7,681","7,731","37,183"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2017,"86,278","91,804","463,180","452,909","14,491",16.07,"11,233",12.457,"120,001","66,331","53,670",14.646,26.496,"99,626","50,053","49,573",11.051,21.997,"20,375",4.499,43.994,"7,978","8,016","36,384"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2018,"88,878","94,421","478,389","468,166","14,105",15.158,"11,366",12.215,"119,064","62,569","56,495",13.365,25.432,"98,356","48,139","50,217",10.282,21.009,"20,708",4.423,42.018,"8,359","8,465","37,342"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2019,"91,544","97,260","496,422","484,878","14,949",15.617,"11,872",12.403,"126,939","69,221","57,718",14.276,26.18,"103,576","52,145","51,431",10.754,21.361,"23,363",4.818,42.723,"9,082","9,165","42,457"
71,"Arts, entertainment, and recreation",Total,Establishments with 1 to 19 employees,2020,"93,156","99,075","499,564","496,886","15,476",15.77,"13,601",13.859,"123,762","67,704","56,058",13.626,24.908,"118,407","60,634","57,773",12.203,23.83,"5,355",1.078,47.66,"10,926","11,092","49,643"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2011,"11,946","15,577","676,990","672,633",391,2.52,265,1.708,"86,104","28,005","58,099",4.163,12.801,"77,367","19,145","58,222",2.846,11.502,"8,737",1.299,23.004,177,180,"12,529"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2012,"12,195","15,895","703,329","687,806",431,2.725,276,1.745,"102,042","31,054","70,988",4.515,14.836,"71,449","18,416","53,033",2.677,10.388,"30,593",4.448,20.776,167,174,"11,247"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2013,"12,600","16,294","705,324","702,530",415,2.559,257,1.585,"87,249","28,927","58,322",4.118,12.419,"81,584","17,469","64,115",2.487,11.613,"5,665",0.806,23.226,160,161,"10,896"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2014,"12,660","16,478","720,521","711,394",454,2.769,292,1.781,"93,156","32,302","60,854",4.541,13.095,"74,301","20,524","53,777",2.885,10.444,"18,855",2.65,20.889,193,198,"14,114"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2015,"12,803","16,767","733,921","724,168",467,2.797,321,1.923,"94,180","31,622","62,558",4.367,13.005,"74,608","21,779","52,829",3.007,10.303,"19,572",2.703,20.605,216,220,"14,872"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2016,"13,166","17,324","766,392","750,752",423,2.45,309,1.79,"104,970","28,448","76,522",3.789,13.982,"73,203","20,904","52,299",2.784,9.751,"31,767",4.231,19.501,218,225,"14,973"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2017,"13,482","17,895","781,975","775,609",432,2.421,324,1.816,"101,914","30,310","71,604",3.908,13.14,"89,111","23,254","65,857",2.998,11.489,"12,803",1.651,22.978,232,233,"16,538"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2018,"13,749","18,306","803,778","793,376",489,2.683,326,1.789,"108,612","33,840","74,772",4.265,13.69,"87,504","22,351","65,153",2.817,11.029,"21,108",2.661,22.059,223,231,"15,190"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2019,"14,031","18,717","818,667","808,968",468,2.512,300,1.61,"105,534","33,336","72,198",4.121,13.046,"86,165","20,150","66,015",2.491,10.651,"19,369",2.394,21.302,228,243,"16,195"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 99 employees,2020,"14,119","18,979","816,312","817,948",462,2.439,382,2.017,"105,357","34,747","70,610",4.248,12.881,"108,137","25,918","82,219",3.169,13.221,"−2,780",−0.340,25.761,282,293,"19,824"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2011,"2,212","2,988","554,462","552,010",18,0.602,22,0.736,"46,109","6,485","39,624",1.175,8.353,"41,601","6,438","35,163",1.166,7.536,"4,508",0.817,15.073,14,14,"3,652"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2012,"2,330","3,171","583,504","576,006",37,1.172,11,0.348,"54,789","11,603","43,186",2.014,9.512,"39,869","3,315","36,554",0.576,6.922,"14,920",2.59,13.843,8,8,"2,415"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2013,"2,387","3,215","604,415","592,683",37,1.155,14,0.437,"61,066","11,715","49,351",1.977,10.303,"37,126","5,130","31,996",0.866,6.264,"23,940",4.039,12.528,10,10,"3,027"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2014,"2,451","3,338","625,723","619,653",35,1.05,23,0.69,"54,103","10,081","44,022",1.627,8.731,"42,345","7,510","34,835",1.212,6.834,"11,758",1.898,13.667,11,11,"4,038"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2015,"2,484","3,403","644,392","636,426",22,0.646,22,0.646,"55,870","7,219","48,651",1.134,8.779,"39,520","7,154","32,366",1.124,6.21,"16,350",2.569,12.419,13,13,"3,979"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2016,"2,504","3,493","671,397","660,881",29,0.832,14,0.402,"61,222","9,418","51,804",1.425,9.264,"39,675","4,577","35,098",0.693,6.003,"21,547",3.26,12.007,7,7,"2,402"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2017,"2,552","3,738","715,942","708,875",36,0.964,31,0.83,"72,125","13,120","59,005",1.851,10.175,"57,098","9,807","47,291",1.383,8.055,"15,027",2.12,16.109,17,17,"4,725"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2018,"2,600","3,805","723,059","715,304",41,1.081,20,0.527,"69,413","15,954","53,459",2.23,9.704,"53,701","7,777","45,924",1.087,7.507,"15,712",2.197,15.015,10,10,"4,605"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2019,"2,674","3,893","727,504","723,751",25,0.643,17,0.437,"59,430","8,380","51,050",1.158,8.211,"52,316","5,544","46,772",0.766,7.228,"7,114",0.983,14.457,10,10,"3,422"
71,"Arts, entertainment, and recreation",Total,Establishments with 100 to 499 employees,2020,"2,634","3,927","738,177","734,848",63,1.613,19,0.487,"70,258","20,034","50,224",2.726,9.561,"63,562","6,615","56,947",0.9,8.65,"6,696",0.911,17.299,11,11,"3,448"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2011,"13,809","18,565","1,231,452","1,224,643",409,2.21,287,1.551,"132,201","34,490","97,711",2.816,10.795,"118,956","25,583","93,373",2.089,9.714,"13,245",1.082,19.427,191,194,"16,181"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2012,"14,151","19,066","1,286,833","1,263,812",468,2.466,287,1.512,"156,810","42,657","114,153",3.375,12.408,"111,305","21,731","89,574",1.719,8.807,"45,505",3.601,17.614,175,182,"13,662"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2013,"14,614","19,509","1,309,739","1,295,213",452,2.328,271,1.396,"148,301","40,642","107,659",3.138,11.45,"118,673","22,599","96,074",1.745,9.162,"29,628",2.288,18.325,170,171,"13,923"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2014,"14,730","19,816","1,346,244","1,331,047",489,2.479,315,1.597,"147,246","42,383","104,863",3.184,11.062,"116,636","28,034","88,602",2.106,8.763,"30,610",2.3,17.525,202,209,"18,152"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2015,"14,913","20,170","1,378,313","1,360,593",489,2.433,343,1.707,"150,024","38,841","111,183",2.855,11.026,"114,103","28,933","85,170",2.126,8.386,"35,921",2.64,16.773,228,233,"18,851"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2016,"15,286","20,817","1,437,789","1,411,633",452,2.178,323,1.556,"166,161","37,866","128,295",2.682,11.771,"112,853","25,481","87,372",1.805,7.995,"53,308",3.776,15.989,225,232,"17,375"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2017,"15,625","21,633","1,497,917","1,484,484",468,2.169,355,1.645,"173,988","43,430","130,558",2.926,11.72,"146,150","33,061","113,089",2.227,9.845,"27,838",1.875,19.69,249,250,"21,263"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2018,"15,949","22,111","1,526,837","1,508,680",530,2.407,346,1.571,"177,939","49,794","128,145",3.301,11.794,"141,129","30,128","111,001",1.997,9.354,"36,810",2.44,18.709,232,241,"19,795"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2019,"16,274","22,610","1,546,171","1,532,718",493,2.189,317,1.408,"164,855","41,716","123,139",2.722,10.756,"138,404","25,694","112,710",1.676,9.03,"26,451",1.726,18.06,236,253,"19,617"
71,"Arts, entertainment, and recreation",Total,Establishments with 20 to 499 employees,2020,"16,336","22,906","1,554,489","1,552,796",525,2.298,401,1.755,"175,548","54,781","120,767",3.528,11.305,"171,606","32,533","139,073",2.095,11.051,"3,942",0.254,22.103,293,304,"23,272"
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2011,246,329,"359,999","366,829",0,0,D,D,"24,890",0,"24,890",0,6.785,"38,971",D,"37,031",D,10.624,"−14,081",−3.839,13.57,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2012,232,308,"362,216","353,077",0,0,0,0,"34,049",0,"34,049",0,9.644,"15,362",0,"15,362",0,4.351,"18,687",5.293,8.702,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2013,251,336,"391,095","382,775",D,D,D,D,"34,102",D,"28,639",D,8.909,"17,844",D,"16,911",D,4.662,"16,258",4.247,9.324,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2014,243,330,"397,295","386,771",3,0.912,D,D,"40,295","4,601","35,694",1.19,10.418,"18,553",D,"16,947",D,4.797,"21,742",5.621,9.594,D,D,D
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2015,242,337,"415,433","407,053",D,D,0,0,"30,063",D,"28,856",D,7.386,"13,393",0,"13,393",0,3.29,"16,670",4.095,6.58,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2016,249,340,"420,904","416,662",D,D,0,0,"24,134",D,"23,050",D,5.792,"15,023",0,"15,023",0,3.606,"9,111",2.187,7.211,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2017,238,324,"416,665","411,370",D,D,D,D,"32,834",D,"31,846",D,7.982,"22,747",D,"17,809",D,5.53,"10,087",2.452,11.059,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2018,253,351,"431,179","431,202",0,0,D,D,"19,834",0,"19,834",0,4.6,"19,776",D,"18,688",D,4.586,58,0.013,9.173,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2019,263,375,"432,244","427,180",0,0,D,D,"23,088",0,"23,088",0,5.405,"13,087",D,"11,807",D,3.064,"10,001",2.341,6.127,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 employees or more,2020,267,371,"418,250","423,447",0,0,0,0,"24,670",0,"24,670",0,5.826,"35,216",0,"35,216",0,8.317,"−10,546",−2.491,11.652,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2011,182,210,"139,187","141,754",0,0,0,0,"9,616",0,"9,616",0,6.784,"14,653",0,"14,653",0,10.337,"−5,037",−3.553,13.567,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2012,178,208,"145,627","143,689",0,0,0,0,"12,681",0,"12,681",0,8.825,"8,942",0,"8,942",0,6.223,"3,739",2.602,12.446,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2013,197,229,"159,123","154,731",D,D,D,D,"18,539",D,"15,270",D,11.981,"9,668",D,"8,735",D,6.248,"8,871",5.733,12.497,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2014,196,226,"156,672","154,739",D,D,D,D,"14,251",D,"11,651",D,9.21,"10,107",D,"8,501",D,6.532,"4,144",2.678,13.063,D,D,D
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2015,191,227,"156,826","154,668",D,D,0,0,"9,600",D,"8,393",D,6.207,"5,317",0,"5,317",0,3.438,"4,283",2.769,6.875,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2016,193,225,"158,375","155,374",D,D,0,0,"12,945",D,"11,861",D,8.332,"6,610",0,"6,610",0,4.254,"6,335",4.077,8.509,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2017,182,208,"144,457","143,558",D,D,D,D,"12,187",D,"11,199",D,8.489,"10,454",D,"9,049",D,7.282,"1,733",1.207,14.564,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2018,195,234,"160,736","159,773",0,0,D,D,"11,972",0,"11,972",0,7.493,"10,101",D,"9,013",D,6.322,"1,871",1.171,12.644,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2019,200,254,"175,103","172,655",0,0,D,D,"13,355",0,"13,355",0,7.735,"8,422",D,"7,142",D,4.878,"4,933",2.857,9.756,0,0,0
71,"Arts, entertainment, and recreation",Total,Establishments with 500 to 999 employees,2020,198,244,"161,198","163,999",0,0,0,0,"14,406",0,"14,406",0,8.784,"20,185",0,"20,185",0,12.308,"−5,779",−3.524,17.568,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2011,83,119,"220,812","225,076",0,0,D,D,"15,274",0,"15,274",0,6.786,"24,313",D,"22,373",D,10.802,"−9,039",−4.016,13.572,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2012,69,100,"216,589","209,388",0,0,0,0,"21,352",0,"21,352",0,10.197,"6,454",0,"6,454",0,3.082,"14,898",7.115,6.165,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2013,74,107,"231,972","228,044",D,D,0,0,"15,588",D,"13,394",D,6.836,"8,189",0,"8,189",0,3.591,"7,399",3.245,7.182,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2014,68,104,"240,623","232,032",D,D,0,0,"26,031",D,"24,030",D,11.219,"8,463",0,"8,463",0,3.647,"17,568",7.571,7.295,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2015,70,110,"258,607","252,385",0,0,0,0,"20,449",0,"20,449",0,8.102,"8,077",0,"8,077",0,3.2,"12,372",4.902,6.401,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2016,75,115,"262,529","261,288",0,0,0,0,"11,222",0,"11,222",0,4.295,"8,421",0,"8,421",0,3.223,"2,801",1.072,6.446,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2017,73,116,"272,208","267,812",0,0,D,D,"20,651",0,"20,651",0,7.711,"12,308",D,"8,775",D,4.596,"8,343",3.115,9.192,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2018,76,117,"270,443","271,429",0,0,0,0,"7,894",0,"7,894",0,2.908,"9,696",0,"9,696",0,3.572,"−1,802",−0.664,5.817,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2019,81,121,"257,141","254,525",0,0,0,0,"9,715",0,"9,715",0,3.817,"4,651",0,"4,651",0,1.827,"5,064",1.99,3.655,0,0,0
71,"Arts, entertainment, and recreation",Total,"Establishments with 1,000 employees or more",2020,86,127,"257,052","259,449",0,0,0,0,"10,242",0,"10,242",0,3.948,"15,002",0,"15,002",0,5.782,"−4,760",−1.835,7.895,0,0,0
72,Accommodation and food services,Total,All establishments,2011,"430,093","594,887","11,556,444","11,442,439","63,024",10.658,"55,932",9.459,"1,615,456","764,151","851,305",6.678,14.118,"1,384,065","505,164","878,901",4.415,12.096,"231,391",2.022,24.192,"42,905","44,029","364,817"
72,Accommodation and food services,Total,All establishments,2012,"438,500","602,295","11,990,626","11,801,518","65,830",10.992,"58,974",9.848,"1,855,820","814,841","1,040,979",6.905,15.725,"1,473,925","575,350","898,575",4.875,12.489,"381,895",3.236,24.979,"41,335","42,552","373,512"
72,Accommodation and food services,Total,All establishments,2013,"445,508","613,251","12,386,457","12,190,475","68,251",11.227,"57,638",9.481,"1,932,880","875,622","1,057,258",7.183,15.856,"1,535,753","610,618","925,135",5.009,12.598,"397,127",3.258,25.196,"42,215","43,256","376,419"
72,Accommodation and food services,Total,All establishments,2014,"450,661","620,524","12,784,522","12,595,831","65,343",10.593,"58,040",9.409,"1,890,441","864,891","1,025,550",6.866,15.008,"1,511,500","575,459","936,041",4.569,12,"378,941",3.008,24,"43,820","44,944","397,854"
72,Accommodation and food services,Total,All establishments,2015,"456,067","627,117","13,206,452","12,993,616","66,132",10.601,"59,598",9.553,"2,061,167","959,680","1,101,487",7.386,15.863,"1,637,661","660,043","977,618",5.08,12.604,"423,506",3.259,25.207,"42,918","44,197","438,257"
72,Accommodation and food services,Total,All establishments,2016,"467,011","645,623","13,711,576","13,467,172","71,369",11.213,"53,087",8.341,"2,082,781","1,023,771","1,059,010",7.602,15.466,"1,599,625","591,114","1,008,511",4.389,11.878,"483,156",3.588,23.756,"40,968","42,062","418,933"
72,Accommodation and food services,Total,All establishments,2017,"476,017","661,108","14,102,862","13,912,360","71,318",10.908,"56,744",8.679,"2,219,410","1,021,624","1,197,786",7.343,15.953,"1,843,292","664,158","1,179,134",4.774,13.249,"376,118",2.703,26.499,"42,026","43,507","456,538"
